Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Reasons for canceling by Customer,Reasons for canceling by Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
08-04-2025,10:23:00,CNR9112665494,Canceled by Driver,CUST9316,Auto,Vejalpur,Paldi,,,,,Yes,Customer was coughing/sick,,,,,,,
26-04-2025,10:32:00,CNR5022224184,Canceled by Customer,CUST3278,Mini,Dariapur,Saraspur,,,Yes,Change of plans,,,,,,,,,
07-04-2025,19:49:00,CNR5528338918,Success,CUST2600,Bike,Gota,Naroda,14.12,12.38,,,,,,,256.15,UPI,24.52,4,3.7
23-04-2025,09:28:00,CNR1052320124,Success,CUST4083,Prime Plus,Manek Chowk,Memnagar,3.91,6.93,,,,,,,118.2,Debit Card,4.33,4.3,3.4
09-04-2025,00:40:00,CNR9114500583,Incomplete,CUST9616,Prime Plus,Bopal,New Ranip,,,,,,,Yes,Vehicle Breakdown,,,,,
01-04-2025,02:52:00,CNR6362876658,Canceled by Customer,CUST8554,Prime Sedan,New Ranip,Science City,,,Yes,Change of plans,,,,,,,,,
08-04-2025,09:23:00,CNR4162649380,Success,CUST4151,Auto,Naroda,Chharodi,3.49,7.53,,,,,,,129.48,Wallet,3.13,3.2,3.9
28-04-2025,04:58:00,CNR8994256818,Success,CUST7327,Prime Sedan,Naranpura,Kalupur,9.04,15.36,,,,,,,408.94,Debit Card,16.07,3.2,4.7
04-04-2025,02:57:00,CNR4110494901,Success,CUST5584,Mini,Ellis Bridge,Gota,6.32,17.09,,,,,,,592.08,Cash,6.02,3.7,4
15-04-2025,07:47:00,CNR5000306144,Success,CUST5664,Prime Sedan,Bodakdev,Amraiwadi,8.55,16.21,,,,,,,163.34,Credit Card,18.12,4.8,4
12-04-2025,17:01:00,CNR1210771203,Success,CUST3679,Bike,New Ranip,Ashram Road,8.37,12.99,,,,,,,205.068,Credit Card,10.05,3,3.6
23-04-2025,02:30:00,CNR1669538117,Success,CUST9358,eBike,Drive-In,Isanpur,4.44,18.36,,,,,,,354.92,UPI,19.94,4,3.2
07-04-2025,14:30:00,CNR8761758456,Success,CUST4243,Prime SUV,Saraspur,Narol,11.95,11.47,,,,,,,177.42,Cash,9.71,4.3,4.1
20-04-2025,12:32:00,CNR8626619196,Incomplete,CUST6219,Prime SUV,Navrangpura,Drive-In,,,,,,,Yes,Other Issue,,,,,
21-04-2025,03:58:00,CNR5587618630,Success,CUST9662,Bike,Prahlad Nagar,Thaltej,4.22,7.29,,,,,,,122.15,Credit Card,5.48,3.6,3.3
30-04-2025,08:49:00,CNR9041185122,Success,CUST7416,Mini,Paldi,Kalupur,9.29,11.16,,,,,,,1112.04,Cash,10.55,4.9,4.7
22-04-2025,23:46:00,CNR2720614284,Success,CUST8389,eBike,Gota,Naranpura,5.05,15.03,,,,,,,777.82,Debit Card,14.72,3.6,4.5
22-04-2025,23:27:00,CNR2679832227,Success,CUST2887,Prime Sedan,Science City,Vasna,8.11,12.61,,,,,,,101.56,Cash,15.65,3.6,4.2
05-04-2025,04:09:00,CNR2804504493,Success,CUST3707,Prime SUV,Saraspur,Science City,9.39,5.78,,,,,,,132.42,UPI,2.52,5,3.6
02-04-2025,00:13:00,CNR1851685681,Success,CUST4209,Mini,Vastrapur,Asarwa,11.18,16.4,,,,,,,261.74,Credit Card,10.88,3.7,4.9
08-04-2025,23:47:00,CNR6155353945,Incomplete,CUST6184,Prime SUV,Bodakdev,Odhav,,,,,,,Yes,Other Issue,,,,,
07-04-2025,00:10:00,CNR1710948180,Canceled by Driver,CUST5369,Prime Sedan,Sabarmati,Naroda,,,,,Yes,Customer related issue,,,,,,,
02-04-2025,08:55:00,CNR2128256126,Success,CUST7448,Auto,Narol,Gomtipur,3.8,16.12,,,,,,,427.98,Wallet,4.35,4.6,3.4
22-04-2025,07:57:00,CNR7689629243,Success,CUST1927,Auto,Paldi,Behrampura,12.77,14.98,,,,,,,211.11,Debit Card,22.05,3.8,4.6
05-04-2025,11:10:00,CNR9925574081,Success,CUST7732,Prime Plus,Ranip,Bodakdev,8.55,9.52,,,,,,,901.032,Debit Card,6.57,4.8,3.8
15-04-2025,15:56:00,CNR7835924690,Incomplete,CUST8277,Bike,Maninagar,Ambawadi,,,,,,,Yes,Other Issue,,,,,
09-04-2025,12:31:00,CNR8723547761,Success,CUST9075,Prime Plus,Ashram Road,Ghodasar,14.28,14.42,,,,,,,112.53,Wallet,20.06,4.2,4.1
23-04-2025,20:14:00,CNR7281020205,Success,CUST7720,Bike,New Ranip,Naranpura,6.74,8.73,,,,,,,516.73,Wallet,14.68,4.5,4.8
17-04-2025,15:14:00,CNR7949302310,Canceled by Driver,CUST8965,Auto,Gomtipur,Satellite,,,,,Yes,Personal & Car related issue,,,,,,,
21-04-2025,23:51:00,CNR5433386498,Canceled by Driver,CUST1193,Auto,Ellis Bridge,Memnagar,,,,,Yes,Customer was coughing/sick,,,,,,,
09-04-2025,23:32:00,CNR1927933977,Success,CUST8519,Prime Plus,Danilimda,CG Road,12.57,7.25,,,,,,,374.29,Credit Card,18.28,4.3,4.4
05-04-2025,16:25:00,CNR1567756021,Success,CUST1450,Auto,Sola,Narol,7.15,7.72,,,,,,,949.332,UPI,10.62,3.9,4.9
26-04-2025,20:34:00,CNR9779261939,Success,CUST2653,Prime Sedan,Prahlad Nagar,Danilimda,9.07,14.17,,,,,,,529.896,Debit Card,23.37,4.1,4.4
29-04-2025,23:43:00,CNR1482220677,Canceled by Driver,CUST9689,eBike,Juhapura,Manek Chowk,,,,,Yes,More than permitted people in there,,,,,,,
14-04-2025,02:45:00,CNR9410635707,Success,CUST2339,Mini,Kalupur,Ellis Bridge,10.28,11.36,,,,,,,966.25,Cash,23.21,3.9,3.2
29-04-2025,12:22:00,CNR2424042935,Canceled by Driver,CUST3635,Prime Plus,Vasna,Thaltej,,,,,Yes,More than permitted people in there,,,,,,,
14-04-2025,18:23:00,CNR8544991440,Incomplete,CUST8062,Bike,New Ranip,Asarwa,,,,,,,Yes,Vehicle Breakdown,,,,,
18-04-2025,02:05:00,CNR2936189367,Success,CUST4010,Prime Sedan,Sabarmati,Nikol,10.1,10.99,,,,,,,200.5,UPI,20.27,3,3.7
29-04-2025,18:31:00,CNR4675933459,Success,CUST9051,Prime SUV,Danilimda,Ellis Bridge,14.04,10.2,,,,,,,381.14,Cash,11.85,3.4,3.9
20-04-2025,05:25:00,CNR2872504519,Success,CUST2239,Prime Sedan,Ashram Road,Asarwa,8.98,11.28,,,,,,,816.996,UPI,14.93,4.3,3
15-04-2025,13:32:00,CNR7815483545,Success,CUST8949,Mini,Drive-In,Asarwa,14.53,7.23,,,,,,,88.32,Credit Card,24.92,4,4.2
10-04-2025,03:32:00,CNR1108963003,Canceled by Driver,CUST6001,Mini,Gomtipur,Bodakdev,,,,,Yes,More than permitted people in there,,,,,,,
22-04-2025,11:48:00,CNR1296742827,Incomplete,CUST3822,Bike,Vejalpur,Vejalpur,,,,,,,Yes,Vehicle Breakdown,,,,,
15-04-2025,11:19:00,CNR1916075069,Success,CUST6920,Bike,Vatva,Ellis Bridge,3.44,12.08,,,,,,,79.5,Debit Card,19.61,3.9,4
28-04-2025,15:55:00,CNR1886797463,Success,CUST5521,Auto,New Ranip,Vastrapur,9.72,7.33,,,,,,,436.94,Debit Card,23.71,3.7,3.5
11-04-2025,07:33:00,CNR4448403600,Success,CUST7982,Auto,Shahpur,Gota,3.3,7.34,,,,,,,828.8,Cash,1.65,3.4,3.5
09-04-2025,02:20:00,CNR4385261969,Success,CUST8519,Bike,Hansol,Ellis Bridge,4.25,17,,,,,,,343.08,UPI,6.72,3.2,3.5
17-04-2025,14:55:00,CNR6963758201,Canceled by Driver,CUST8979,Prime Sedan,New Ranip,Jamialpur,,,,,Yes,Customer was coughing/sick,,,,,,,
07-04-2025,03:36:00,CNR9889076207,Canceled by Customer,CUST3404,Mini,Dariapur,Behrampura,,,Yes,Driver is not moving towards pickup location,,,,,,,,,
07-04-2025,06:34:00,CNR7552151863,Success,CUST4566,Bike,Ranip,Ellis Bridge,13.76,5.2,,,,,,,143.34,Debit Card,1.64,3.4,4.2
26-04-2025,11:20:00,CNR5543513819,Incomplete,CUST1195,Bike,Vejalpur,Ashram Road,,,,,,,Yes,Vehicle Breakdown,,,,,
01-04-2025,15:09:00,CNR3510996098,Success,CUST5328,Prime Plus,Paldi,Vastrapur,7.56,13.85,,,,,,,330.24,Debit Card,10.83,4.1,3.9
06-04-2025,19:43:00,CNR5996045308,Incomplete,CUST5975,Auto,Sola,CG Road,,,,,,,Yes,Vehicle Breakdown,,,,,
15-04-2025,14:16:00,CNR9469918865,Success,CUST6168,Prime Plus,Science City,Science City,13.42,12.31,,,,,,,899.13,Wallet,11.21,3,3.5
10-04-2025,19:08:00,CNR3328328186,Canceled by Customer,CUST2119,Prime SUV,Asarwa,Danilimda,,,Yes,Change of plans,,,,,,,,,
02-04-2025,21:34:00,CNR7607383331,Success,CUST3010,Auto,Drive-In,Memnagar,13.02,19.77,,,,,,,127.08,Cash,7.54,3,4.8
10-04-2025,08:51:00,CNR9015680360,Success,CUST7801,Prime Plus,Ranip,Satellite,6.29,13.31,,,,,,,422.55,Debit Card,5.95,3,3.3
03-04-2025,09:00:00,CNR7082792215,Incomplete,CUST3847,Prime SUV,Satellite,Ellis Bridge,,,,,,,Yes,Customer Demand,,,,,
03-04-2025,16:42:00,CNR6536698636,Success,CUST7073,Mini,Kubernagar,Paldi,10.98,7.63,,,,,,,708.97,Credit Card,10.2,4,3.1
09-04-2025,23:57:00,CNR1994252198,Canceled by Driver,CUST2211,Prime SUV,Manek Chowk,Danilimda,,,,,Yes,More than permitted people in there,,,,,,,
10-04-2025,00:10:00,CNR2074514999,Success,CUST9981,Prime Plus,Navrangpura,Danilimda,5.94,10.84,,,,,,,209.7,Credit Card,18.26,3.6,4.1
28-04-2025,22:42:00,CNR4405881098,Canceled by Customer,CUST1720,Prime Sedan,Amraiwadi,Science City,,,Yes,AC is Not working,,,,,,,,,
14-04-2025,12:16:00,CNR9685389135,Success,CUST7257,Prime SUV,Jamialpur,Danilimda,3.37,8.93,,,,,,,73.09,Debit Card,12.91,4.2,3.7
03-04-2025,16:04:00,CNR1293648033,Success,CUST6051,Bike,Dariapur,Chharodi,3.9,15.92,,,,,,,359.09,Credit Card,11.44,3.5,4.6
03-04-2025,14:21:00,CNR2071948751,Success,CUST3806,Prime Sedan,Naranpura,Juhapura,10.08,10.41,,,,,,,461.87,Cash,4.28,4.9,3.9
10-04-2025,16:03:00,CNR6591552383,Success,CUST7422,Bike,Vastrapur,Vasna,13.48,15.98,,,,,,,828.73,Debit Card,17.61,4.7,3.5
09-04-2025,19:43:00,CNR9413016255,Success,CUST8944,Auto,Paldi,Manek Chowk,14.85,19.16,,,,,,,366.8,Credit Card,23.21,3.4,4.1
01-04-2025,02:34:00,CNR5675585503,Success,CUST5060,eBike,Saraspur,Vasna,11.37,9.46,,,,,,,984.56,Cash,23.66,3.9,4.7
23-04-2025,21:27:00,CNR3474628703,Success,CUST3935,Prime Plus,Narol,Hansol,12.95,5.56,,,,,,,153.27,Wallet,3.89,3.2,4.4
25-04-2025,08:48:00,CNR1282181016,Canceled by Driver,CUST4198,Bike,Jamialpur,Kubernagar,,,,,Yes,Customer related issue,,,,,,,
30-04-2025,19:10:00,CNR9371915047,Success,CUST9641,Bike,Ellis Bridge,Satellite,9.47,16.86,,,,,,,331.03,Cash,22.26,4.2,3.5
01-04-2025,20:31:00,CNR5965152165,Incomplete,CUST9325,Prime Plus,Vejalpur,Ranip,,,,,,,Yes,Customer Demand,,,,,
03-04-2025,16:56:00,CNR1318592278,Incomplete,CUST3816,Bike,Gomtipur,Chharodi,,,,,,,Yes,Other Issue,,,,,
30-04-2025,22:19:00,CNR7108094952,Incomplete,CUST1118,eBike,Vatva,Kalupur,,,,,,,Yes,Vehicle Breakdown,,,,,
18-04-2025,01:47:00,CNR7446544843,Canceled by Driver,CUST3496,Prime Plus,Jamialpur,Isanpur,,,,,Yes,Personal & Car related issue,,,,,,,
07-04-2025,06:21:00,CNR9722363208,Success,CUST2816,eBike,Vejalpur,Saraspur,10.53,18.11,,,,,,,1768.27,Credit Card,11.03,3.8,4.5
25-04-2025,20:32:00,CNR3868984039,Success,CUST6119,Mini,Gota,Gota,7.26,9.31,,,,,,,154.89,Credit Card,2.01,3,5
21-04-2025,19:40:00,CNR3019697854,Success,CUST7222,Bike,Chharodi,Behrampura,11.16,8.27,,,,,,,892.39,Debit Card,3.15,3.8,4.8
18-04-2025,06:12:00,CNR7315086783,Success,CUST2206,Prime Sedan,Gomtipur,Behrampura,10.36,7.51,,,,,,,1231.67,Cash,23.63,4.3,4.2
17-04-2025,14:41:00,CNR5751928694,Success,CUST6308,Prime Plus,Ranip,Isanpur,5.12,8.31,,,,,,,400.03,Debit Card,9.4,3.1,4.9
03-04-2025,14:01:00,CNR9181264872,Incomplete,CUST3031,eBike,Satellite,Isanpur,,,,,,,Yes,Other Issue,,,,,
10-04-2025,17:57:00,CNR1305667782,Success,CUST5343,Auto,Jamialpur,Navrangpura,7.75,16.37,,,,,,,119.1,Debit Card,20.58,3.4,3.4
11-04-2025,14:16:00,CNR4051605237,Success,CUST4158,Prime SUV,Science City,Gota,9.96,6.37,,,,,,,632.53,UPI,4.11,4.8,4.9
